ge,cst,ms,fmi,fs,fo,mo,nf,sh,ss,me,atd
F,G,Unmarried,Medium,Average,Farmer,Housewife,Large,Poor,Govt,Asm,Good
M,OBC,Unmarried,Low,Average,Service,Service,Small,Poor,Govt,Asm,Average
F,OBC,Unmarried,Am,Average,Service,Housewife,Average,Average,Govt,Asm,Good
M,MOBC,Unmarried,Medium,Small,Business,Business,Large,Poor,Govt,Asm,Average
M,G,Unmarried,Am,Average,Service,Housewife,Large,Poor,Private,Asm,Good
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Small,Poor,Private,Eng,Average
F,OBC,Unmarried,High,Average,Service,Service,Average,Poor,Govt,Asm,Good
F,OBC,Unmarried,Medium,Small,Farmer,Housewife,Small,Poor,Private,Asm,Good
F,MOBC,Unmarried,Low,Small,Others,Housewife,Small,Good,Govt,Asm,Good
F,OBC,Unmarried,Low,Small,Others,Housewife,Large,Average,Govt,Asm,Good
M,ST,Unmarried,Vh,Small,Retired,Retired,Large,Good,Private,Eng,Good
F,OBC,Unmarried,Medium,Average,Service,Housewife,Large,Average,Govt,Eng,Good
M,OBC,Unmarried,Medium,Small,Service,Housewife,Large,Poor,Private,Eng,Good
M,OBC,Unmarried,Medium,Small,Others,Housewife,Large,Good,Govt,Asm,Good
F,G,Unmarried,Medium,Small,Business,Housewife,Large,Poor,Govt,Eng,Good
F,ST,Unmarried,Medium,Small,Others,Housewife,Large,Average,Govt,Asm,Good
F,ST,Unmarried,Medium,Small,Business,Housewife,Large,Poor,Private,Eng,Good
M,OBC,Unmarried,Low,Small,Farmer,Housewife,Large,Average,Govt,Eng,Good
M,ST,Unmarried,Medium,Average,Farmer,Housewife,Large,Average,Govt,Eng,Good
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Large,Poor,Govt,Eng,Good
F,G,Unmarried,Vh,Small,Service,Housewife,Large,Poor,Govt,Eng,Good
F,G,Unmarried,Vh,Small,Service,Housewife,Large,Poor,Private,Eng,Good
F,OBC,Unmarried,Am,Small,Business,Service,Large,Average,Govt,Eng,Good
F,OBC,Unmarried,Medium,Small,Farmer,Housewife,Large,Average,Govt,Eng,Good
F,G,Unmarried,Medium,Average,Business,Housewife,Large,Poor,Govt,Eng,Good
F,G,Unmarried,Medium,Average,Business,Housewife,Large,Poor,Govt,Eng,Average
F,OBC,Unmarried,Medium,Small,Service,Housewife,Large,Poor,Govt,Eng,Average
F,OBC,Unmarried,Medium,Average,Others,Housewife,Large,Average,Private,Eng,Good
M,G,Unmarried,High,Average,Service,Housewife,Large,Poor,Private,Eng,Average
F,OBC,Unmarried,Am,Average,Others,Housewife,Small,Average,Private,Asm,Average
F,OBC,Unmarried,Vh,Average,Service,Housewife,Large,Poor,Govt,Asm,Good
F,G,Unmarried,Medium,Small,Business,Housewife,Average,Poor,Govt,Asm,Average
F,OBC,Unmarried,High,Small,Business,Housewife,Average,Average,Govt,Asm,Good
M,G,Unmarried,Low,Average,Farmer,Housewife,Average,Average,Private,Eng,Average
M,G,Unmarried,Medium,Small,Business,Housewife,Large,Poor,Govt,Asm,Poor
F,OBC,Unmarried,Medium,Average,Business,Housewife,Large,Poor,Govt,Hin,Average
F,OBC,Unmarried,Medium,Average,Business,Housewife,Large,Poor,Govt,Hin,Average
M,OBC,Unmarried,Medium,Small,Business,Housewife,Large,Poor,Private,Eng,Average
M,OBC,Unmarried,Low,Small,Farmer,Housewife,Large,Average,Private,Eng,Average
M,G,Unmarried,Am,Small,Business,Service,Small,Good,Private,Eng,Good
M,OBC,Unmarried,Am,Small,Business,Housewife,Large,Average,Private,Eng,Good
M,OBC,Unmarried,Medium,Small,Others,Housewife,Large,Average,Govt,Ben,Good
M,G,Unmarried,Medium,Small,Others,Housewife,Large,Average,Private,Eng,Good
M,OBC,Unmarried,Medium,Small,Service,Housewife,Small,Average,Private,Eng,Good
M,OBC,Unmarried,Am,Small,Others,Housewife,Small,Average,Private,Eng,Good
M,OBC,Unmarried,Am,Small,Business,Housewife,Large,Poor,Govt,Eng,Average
M,OBC,Unmarried,Medium,Small,Others,Housewife,Large,Average,Private,Asm,Good
M,G,Unmarried,Medium,Small,Others,Housewife,Large,Good,Govt,Asm,Good
F,OBC,Unmarried,Medium,Small,Others,Housewife,Large,Average,Govt,Asm,Good
M,G,Unmarried,Am,Small,Service,Housewife,Large,Average,Private,Eng,Average
M,G,Unmarried,Vh,Small,Service,Housewife,Large,Good,Private,Eng,Good
F,G,Unmarried,Medium,Average,Business,Housewife,Average,Good,Private,Eng,Good
M,G,Unmarried,Low,Small,Farmer,Housewife,Large,Good,Govt,Asm,Average
F,OBC,Unmarried,Medium,Average,Others,Housewife,Large,Average,Govt,Hin,Average
F,OBC,Unmarried,Low,Small,Business,Housewife,Small,Average,Private,Eng,Good
F,G,Unmarried,Medium,Small,Business,Housewife,Small,Good,Govt,Eng,Good
F,SC,Unmarried,Medium,Small,Business,Housewife,Average,Good,Private,Eng,Average
F,MOBC,Unmarried,Medium,Average,Others,Housewife,Small,Good,Govt,Asm,Good
F,G,Unmarried,Medium,Small,Service,Housewife,Average,Good,Govt,Eng,Good
F,SC,Unmarried,Medium,Small,Retired,Service,Small,Good,Govt,Asm,Good
F,OBC,Unmarried,Low,Large,Business,Housewife,Small,Good,Private,Eng,Average
F,ST,Unmarried,Am,Average,Farmer,Housewife,Large,Good,Private,Eng,Good
F,OBC,Unmarried,Am,Small,Business,Service,Large,Good,Govt,Asm,Average
F,OBC,Unmarried,Am,Small,Business,Service,Large,Good,Private,Asm,Good
F,OBC,Unmarried,High,Average,Service,Housewife,Large,Good,Private,Eng,Good
M,OBC,Unmarried,High,Average,Business,Housewife,Large,Poor,Private,Eng,Poor
M,G,Unmarried,Low,Small,Others,Housewife,Large,Poor,Govt,Eng,Average
M,OBC,Unmarried,Medium,Small,Others,Housewife,Average,Poor,Private,Eng,Poor
M,G,Unmarried,Medium,Small,Others,Housewife,Large,Poor,Private,Eng,Good
M,G,Unmarried,Vh,Small,Business,Housewife,Average,Average,Govt,Eng,Poor
M,OBC,Unmarried,Am,Small,Others,Others,Large,Average,Govt,Hin,Good
M,G,Unmarried,Am,Small,Business,Housewife,Large,Poor,Govt,Asm,Average
M,ST,Unmarried,Am,Average,Others,Housewife,Average,Good,Govt,Eng,Good
M,G,Unmarried,Am,Small,Business,Housewife,Large,Good,Private,Eng,Average
M,SC,Unmarried,High,Small,Service,Housewife,Average,Good,Govt,Eng,Poor
M,OBC,Unmarried,Medium,Average,Service,Service,Average,Poor,Govt,Asm,Poor
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Large,Average,Private,Asm,Average
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Small,Average,Govt,Asm,Good
M,ST,Unmarried,High,Average,Farmer,Housewife,Average,Average,Govt,Eng,Poor
M,ST,Unmarried,High,Small,Others,Housewife,Average,Average,Private,Asm,Poor
M,G,Unmarried,High,Small,Others,Housewife,Large,Good,Private,Hin,Poor
M,OBC,Unmarried,High,Small,Farmer,Housewife,Average,Good,Govt,Asm,Average
F,G,Unmarried,Am,Small,Service,Housewife,Average,Average,Govt,Hin,Poor
F,OBC,Unmarried,Low,Small,Others,Housewife,Average,Average,Govt,Eng,Average
F,OBC,Unmarried,Am,Small,Service,Housewife,Average,Poor,Govt,Eng,Poor
F,ST,Unmarried,Am,Small,Service,Housewife,Small,Poor,Govt,Eng,Poor
F,SC,Unmarried,Medium,Average,Business,Housewife,Small,Poor,Govt,Asm,Average
F,OBC,Unmarried,Low,Small,Others,Housewife,Large,Good,Govt,Ben,Average
F,G,Unmarried,Medium,Small,Service,Housewife,Small,Average,Private,Asm,Poor
M,ST,Unmarried,High,Average,Service,Housewife,Large,Average,Govt,Eng,Good
M,G,Unmarried,Low,Small,Others,Others,Large,Poor,Govt,Hin,Poor
M,G,Unmarried,Am,Small,Service,Housewife,Average,Poor,Govt,Eng,Average
F,ST,Unmarried,Am,Average,Service,Housewife,Average,Poor,Govt,Eng,Average
F,ST,Unmarried,Low,Average,Service,Housewife,Small,Poor,Govt,Eng,Poor
F,G,Unmarried,Medium,Small,Others,Housewife,Small,Average,Private,Eng,Average
F,OBC,Unmarried,High,Small,Business,Housewife,Large,Good,Govt,Eng,Poor
F,OBC,Unmarried,Am,Small,Business,Housewife,Small,Average,Govt,Eng,Average
F,ST,Unmarried,Medium,Small,Service,Housewife,Small,Poor,Govt,Eng,Average
F,G,Unmarried,Am,Small,Business,Housewife,Small,Average,Govt,Eng,Good
F,OBC,Unmarried,Am,Small,Service,Housewife,Small,Average,Govt,Eng,Good
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Small,Poor,Govt,Eng,Average
M,MOBC,Unmarried,Medium,Average,Farmer,Service,Small,Average,Govt,Asm,Average
M,G,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Good
M,G,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Average
M,OBC,Unmarried,Low,Small,Service,Service,Large,Average,Govt,Asm,Poor
M,G,Unmarried,Medium,Small,Service,Housewife,Average,Average,Govt,Asm,Poor
M,MOBC,Unmarried,Medium,Small,Service,Housewife,Large,Average,Private,Asm,Average
M,OBC,Unmarried,Medium,Small,Others,Service,Average,Poor,Govt,Asm,Poor
F,OBC,Unmarried,High,Small,Service,Service,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Average,Average,Govt,Asm,Average
M,ST,Unmarried,Medium,Small,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,ST,Unmarried,Low,Small,Farmer,Housewife,Small,Poor,Govt,Asm,Poor
M,ST,Unmarried,Medium,Small,Retired,Housewife,Average,Average,Govt,Asm,Poor
F,G,Unmarried,Medium,Small,Business,Housewife,Average,Average,Private,Asm,Good
F,G,Unmarried,Low,Small,Others,Housewife,Average,Poor,Govt,Asm,Average
F,G,Unmarried,Medium,Average,Business,Housewife,Average,Good,Govt,Asm,Average
M,G,Unmarried,Low,Small,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,G,Unmarried,High,Small,Others,Housewife,Average,Average,Govt,Asm,Average
M,OBC,Unmarried,Medium,Small,Others,Housewife,Average,Average,Private,Asm,Average
M,G,Unmarried,Am,Small,Service,Housewife,Average,Average,Govt,Asm,Average
F,G,Unmarried,Medium,Small,Farmer,Housewife,Small,Poor,Govt,Asm,Good
M,OBC,Unmarried,Medium,Average,Farmer,Housewife,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Service,Housewife,Average,Poor,Govt,Asm,Poor
M,OBC,Unmarried,Am,Average,Business,Housewife,Average,Good,Govt,Eng,Average
M,OBC,Unmarried,Medium,Average,Service,Housewife,Average,Average,Govt,Asm,Poor
M,OBC,Unmarried,Medium,Average,Service,Housewife,Small,Average,Govt,Eng,Good
M,G,Unmarried,Low,Small,Service,Housewife,Small,Average,Govt,Asm,Poor
M,MOBC,Unmarried,High,Small,Farmer,Housewife,Average,Poor,Govt,Asm,Average
F,OBC,Unmarried,Am,Large,Farmer,Housewife,Small,Average,Govt,Asm,Good
M,ST,Unmarried,Low,Average,Service,Housewife,Average,Average,Govt,Asm,Average
M,G,Unmarried,Medium,Small,Business,Housewife,Average,Average,Govt,Asm,Average
